step,t,dt,cfl,max_velocity,max_vorticity,max_circulation,kinetic_energy,enstrophy,div_u_l2,div_u_rel,div_u_weak,bkm_integral,r_at_max_vorticity,z_at_max_vorticity,bc_residual,iters_momentum,iters_pressure,iters_projection,wall_time
1,0.00012289150088876064,0.00012289150088876064,0.5,25.19289593185436,353.0926711827635,5.748668806634466,175.67976184101624,19054.364448495395,1.3497470137581744,0.00991218929411785,0.00021870479794893445,0.0,0.5473032938192066,0.004959432706784954,0.0,8,12,16,3.148160696029663
9,0.0011019410745389735,0.00012198674196919138,0.5,25.17598559969541,363.6145179063026,5.747968953897099,175.6495865529301,19091.085096417075,5.371509681180208,0.039379149696037896,3.360509998764338e-05,0.35084593395484637,0.5531871300873955,-0.00326710759874139,0.0,8,12,16,10.261106729507446
17,0.002074246409423425,0.00012122015727087378,0.5,25.14163895516284,371.3298758873817,5.747397618185608,175.6197035619445,19167.234509317524,6.817474730007964,0.04985396114604379,2.296878819347785e-05,0.7081411114193555,0.5531871300873955,-0.00326710759874139,0.0,8,12,16,17.37500548362732
25,0.0030412551687954347,0.0001206381063029131,0.5,25.092971881585783,378.18910163847204,5.746639272381412,175.58996901669536,19273.836069999837,7.592204628131379,0.055345009275888424,1.8151427656792692e-05,1.070536819710882,0.5690652447471425,0.030727013761707212,0.0,8,12,16,24.467675924301147
33,0.004004595964700334,0.00012027953931877211,0.5,25.01443665950719,383.59885507265807,5.74594242307205,175.56029002667933,19406.953349882955,8.058507524654337,0.05852594363816288,1.5037778511526355e-05,1.4374675279753155,0.5690652447471425,0.030727013761707212,0.0,8,12,16,31.567354679107666
42,0.005086113109598093,0.00012010811119938832,0.5,24.94534355580335,389.2535369673237,5.745397643195471,175.52685076572538,19584.96932742888,8.382514237879974,0.06058644188289615,1.283852613109563e-05,1.855394084208558,0.5785886987251789,0.019799483292978134,0.0,8,12,16,39.52445125579834
50,0.006046950542802099,0.00012012443149679621,0.5,24.873644533170303,396.0334618700066,5.744836624995516,175.49699818815853,19766.399159460856,8.567969025643595,0.06163010589479558,1.1731959782129024e-05,2.2326606563542266,0.5785886987251789,0.019799483292978134,0.0,8,12,16,46.624860763549805
58,0.007008528529166521,0.00012026929833023535,0.5,24.781534789970596,393.05677867287886,5.743142279221443,175.46695446345296,19968.803425348284,8.689749349199037,0.062177675301356844,1.087760928372868e-05,2.6120465586347494,0.5785886987251789,0.019799483292978134,0.0,8,12,16,53.71260166168213
67,0.008092359041100632,0.00012057156583441788,0.5,24.667641813184805,403.6091995368185,5.74278531611759,175.43285336913965,20221.18007403052,8.769965535782646,0.06234761666728368,1.1044710334785256e-05,3.043772006136502,0.8346940140072951,0.46983491167956704,0.0,8,12,16,61.66967296600342
75,0.009058551874649419,0.00012094354825599502,0.5,24.562169362147436,434.6169839372997,5.740722757179597,175.4022087630718,20467.005610738695,8.804516115561116,0.062206856804057874,1.1345580100024937e-05,3.448716071819324,0.8359679531277637,0.46798299597975973,0.0,8,12,16,68.77270436286926
83,0.010027685881931533,0.00012114318438465228,0.5,24.46199581476585,465.3196907613547,5.74093885047163,175.37121932525704,20732.72066476132,8.81852578161723,0.06189619789056132,1.1073877493624303e-05,3.8847956897447475,0.8359679531277637,0.46798299597975973,0.0,8,12,16,75.85956573486328
92,0.011114279412692647,0.0001204308709432525,0.5,24.375707600801288,499.3409902297507,5.737203380655872,175.3362372569335,21052.807190345215,8.84232851111339,0.06157900107988891,1.1069247601795356e-05,4.408892717417021,0.7979603346117137,0.5247615437047314,0.0,8,12,16,83.80992293357849
100,0.012075435954454925,0.00011994006082367206,0.5,24.296446331699684,529.8958189838162,5.737738265234826,175.3050805651395,21354.96356001587,8.879062838804497,0.061385814542769784,1.1136446209152938e-05,4.903521563516097,0.7979603346117137,0.5247615437047314,0.0,8,12,16,90.88104724884033
108,0.013032934265096439,0.00011934418981905342,0.5,24.2154507564423,559.8387434345493,5.735298381325002,175.27381394581846,21673.4672339165,8.911421070397628,0.061145233184342805,1.0691506775422667e-05,5.425231064797725,0.7979603346117137,0.5247615437047314,0.0,8,12,16,97.9571692943573
117,0.01409758076118227,0.00011748484660929622,0.5,24.12859424062446,592.5876814022254,5.733121842257756,175.2388485094511,22047.805704997518,8.94020424475521,0.06080887002610914,1.0373341574531538e-05,6.038694442397322,0.7979603346117137,0.5247615437047314,0.0,8,12,16,105.90127658843994
125,0.015030692848041963,0.0001160043215492333,0.5,24.07033714740034,620.8490229494586,5.731067025974829,175.20803867051183,22392.81385244106,8.963948627645626,0.060489391665898284,1.0027899165024663e-05,6.604830670132196,0.7979603346117137,0.5247615437047314,0.0,8,12,16,112.97196435928345
134,0.016067188448181117,0.00011452389854058566,0.5,24.010869293492107,651.7894943045674,5.7301789713582005,175.17360517994615,22793.873182634103,8.986780753027684,0.060097240055551136,9.996265136598185e-06,7.264372781982903,0.7979603346117137,0.5247615437047314,0.0,8,12,16,120.92282462120056
143,0.01709128588043379,0.00011322612746010871,0.5,23.961139006092534,681.9167951555041,5.727922286399252,175.1393327350815,23207.86363562981,9.006406101452725,0.05967885693110442,9.470355442666576e-06,7.947295375190553,0.7979603346117137,0.5247615437047314,0.0,8,12,16,128.89254546165466
152,0.018104535265816738,0.00011209146022428011,0.5,23.920650698462005,711.3044226690595,5.725669076449741,175.10514509162613,23634.334109285996,9.020537252201441,0.05922113327521176,8.959196089404847e-06,8.653135646522164,0.7979603346117137,0.5247615437047314,0.0,8,12,16,136.8430380821228
161,0.019108288362054252,0.00011109626846867399,0.5,23.886366165896014,740.0087020546835,5.723910098215354,175.0709763977479,24072.643783333606,9.039429914274496,0.05879295598195622,8.50672832188847e-06,9.381515667797963,0.7979603346117137,0.5247615437047314,0.0,8,12,16,144.7957444190979
170,0.02010367586163521,0.00011021562826126982,0.5,23.867808746292056,768.0781010992721,5.720979297840572,175.03676860323287,24522.106652167786,9.068801508848694,0.0584315270148506,8.078643350138494e-06,10.13208104386919,0.7979603346117137,0.5247615437047314,0.0,8,12,16,152.7513518333435
179,0.021091607214061458,0.00010942548084724207,0.5,23.8511667494123,795.559354170926,5.719619771607671,175.00247537272537,24982.309293837265,9.103527719622505,0.058103274519272226,8.500252217680535e-06,10.904464276813902,0.7979603346117137,0.5247615437047314,0.0,8,12,16,160.7331600189209
188,0.022072785334652168,0.00010870389640558015,0.5,23.83547089534244,822.494745792588,5.717691227102059,174.96806350702812,25452.738539278238,9.140450200937831,0.05778829953777459,8.02323357700795e-06,11.69826391722205,0.7979603346117137,0.5247615437047314,0.0,8,12,16,168.68906021118164
197,0.02304772923260968,0.00010803169851179656,0.5,23.827774695345607,848.9138558706546,5.716891883628252,174.93350900898542,25932.752047117814,9.17896531406437,0.05748347663786764,7.3035040198945234e-06,12.513028725814689,0.7979603346117137,0.5247615437047314,0.0,8,12,16,176.64306735992432
206,0.024016800303493267,0.00010739272215396425,0.5,23.821836309104505,874.8294310316495,5.7143633495760335,174.89879206034672,26421.669596546057,9.215534548457006,0.0571676340081777,6.77375905184755e-06,13.348243602298092,0.7979603346117137,0.5247615437047314,0.0,8,12,16,184.60525560379028
