step,t,dt,cfl,max_velocity,max_vorticity,max_circulation,kinetic_energy,enstrophy,div_u_l2,div_u_rel,div_u_weak,bkm_integral,r_at_max_vorticity,z_at_max_vorticity,bc_residual,iters_momentum,iters_pressure,iters_projection,wall_time
1,4.975119058376158e-05,4.975119058376158e-05,0.5,25.201545796613075,352.3423653923421,5.74871132677121,175.70397011111953,19097.9643729133,1.0100936004098018,0.007409336411171555,8.362881921378781e-05,0.0,0.5436582409485289,0.0007881103374471558,0.0,8,13,15,11.926440000534058
21,0.0010427566387886027,4.957093594039289e-05,0.5,25.185595333759323,367.6755353042911,5.748103272296008,175.6802965996047,19119.57248698761,2.634117818129569,0.019307684886002586,3.406908372177273e-06,0.35749084909838447,0.5468988987552326,0.017107605229207155,0.0,8,13,15,81.25346899032593
41,0.0020330567800211094,4.947982645074147e-05,0.5,25.151120579823043,374.63472994297575,5.747428295131864,175.6566531719269,19199.30064737651,2.9251712196201245,0.021394282776332325,1.736753704285618e-06,0.7250458293547384,0.5468988987552326,0.017107605229207155,0.0,8,13,15,150.5219509601593
61,0.0030224876971686834,4.947690585070166e-05,0.5,25.104262628601656,373.93197265440585,5.746754091681073,175.6329422978069,19315.401191391335,3.033777661277307,0.02211955844084424,1.0714226190404962e-06,1.0953733489032698,0.5468988987552326,0.017107605229207155,0.0,8,13,15,219.77956533432007
81,0.004012671262980301,4.95493501257042e-05,0.5,25.041915491820255,368.2959166849171,5.746225999940355,175.60908625802853,19460.313782790232,3.073822860930972,0.02232545607149875,7.402219892409426e-07,1.4628442779586908,0.5468988987552326,0.017107605229207155,0.0,8,13,15,288.998309135437
101,0.0050050425402836714,4.969212742173781e-05,0.5,24.96761153795649,368.205978377705,5.7454055870821445,175.58501662676943,19630.598126103476,3.0959636717076724,0.022385759660624848,6.368732505247376e-07,1.8282859411285142,0.5391323692577831,0.05588518424278994,0.0,8,13,15,358.15470337867737
121,0.006000942220372432,4.9895721897791324e-05,0.5,24.881932751340095,403.1435937346565,5.744857883330504,175.56066949609152,19824.55502732928,3.111794602409541,0.02238684593413676,5.983165813655851e-07,2.212379337180166,0.8228800984881357,0.48838843563091,0.0,8,13,15,427.5868866443634
141,0.007001320535070705,5.013626917211407e-05,0.5,24.793691558395295,439.90106001967723,5.743927330171632,175.5359928917591,20041.315801486548,3.1216046837266678,0.02233237078634127,5.977085509451042e-07,2.634061132149241,0.8228800984881357,0.48838843563091,0.0,8,13,15,497.0995373725891
161,0.008006896254250667,5.041276113179738e-05,0.5,24.69198603879577,475.40383796799006,5.743193074350791,175.5109415741806,20280.47989908413,3.1197043282687327,0.02218334677958938,6.073303911081454e-07,3.094265322680686,0.8228800984881357,0.48838843563091,0.0,8,13,15,566.5770542621613
181,0.009018296640458489,5.0715657924684254e-05,0.5,24.595612344080333,509.97880963218034,5.742368289027249,175.4854728007745,20541.935316182527,3.1049325842593842,0.02193380209287376,6.066187555164113e-07,3.5925735178533356,0.8228800984881357,0.48838843563091,0.0,8,13,15,635.9033782482147
201,0.010035943673361926,5.103507834727415e-05,0.5,24.494606585153004,543.8416480040557,5.741420882455751,175.45954938369565,20825.679706027837,3.086329221363897,0.021649686462727056,6.055967422180311e-07,4.128782148816565,0.8228800984881357,0.48838843563091,0.0,8,13,15,705.1083552837372
220,0.011008714922308467,5.134622459307875e-05,0.5,24.4035080781842,575.4787116395665,5.740424487887013,175.43447138007596,21115.919131640137,3.068830717320162,0.021374914073738035,6.178735541962522e-07,4.673203480927474,0.8228800984881357,0.48838843563091,0.0,8,13,15,770.8877265453339
240,0.012039097128803859,5.167534313072863e-05,0.5,24.315525552414076,608.3018607640996,5.739362183600443,175.4075716574504,21443.229516509862,3.05034448354186,0.021079559457667485,6.368055937861114e-07,5.283076700027308,0.8228800984881357,0.48838843563091,0.0,8,13,15,840.0150933265686
