step,t,dt,cfl,max_velocity,max_vorticity,max_circulation,kinetic_energy,enstrophy,div_u_l2,div_u_rel,div_u_weak,bkm_integral,r_at_max_vorticity,z_at_max_vorticity,bc_residual,iters_momentum,iters_pressure,iters_projection,wall_time
1,0.00024364104397497582,0.00024364104397497582,0.5,25.180562323891067,357.8913456709625,5.7462491045346855,175.5972015317396,19022.15433820666,2.673954854908149,0.019650910683786774,0.0008074853141108534,0.0,0.5436693051278884,0.0023243183907962883,0.0,8,11,16,0.9982509613037109
5,0.0012223682976686225,0.0002452998905730746,0.5,25.184507523477723,389.99260834041775,5.745930878604497,175.55438193891436,19069.768510933744,10.125196303578566,0.07412395536615225,0.00023229891286544323,0.36598720419555186,0.5288475902765299,0.03164451378760351,0.0,8,11,16,1.8764545917510986
9,0.0022071287469087653,0.00024679781145781505,0.5,25.128784921591205,412.7672336149111,5.745607432341191,175.5115657034651,19159.899050395816,14.615631972560738,0.10642414860308926,0.00016697787238164344,0.7612502754934898,0.5288475902765299,0.03164451378760351,0.0,8,11,16,2.7572715282440186
13,0.003198670298128198,0.0002485385597275885,0.5,25.028776445803008,421.6242929045764,5.746734953146025,175.46813015168203,19282.949064704113,17.496069035340962,0.12667533263648423,0.00015043874464632745,1.1749172097582314,0.5588013860990328,-0.020749741966273216,0.0,8,11,16,3.6315290927886963
17,0.004197458152586763,0.0002502765112218004,0.5,24.98519336919054,434.5486925706955,5.744826021815103,175.42402318603342,19432.38959366645,19.444935640986273,0.13997435511242598,0.00014657315186151834,1.6024847993623468,0.5717016191144491,0.006666427977973429,0.0,8,11,16,4.507439613342285
21,0.005198947101695018,0.00025048551809049645,0.5,24.915874484821277,445.3741172871939,5.738905214677784,175.37958822619396,19601.72720568066,20.79766500592376,0.14885025306572702,0.0001362660794564631,2.0431012844328267,0.5717016191144491,0.006666427977973429,0.0,8,11,16,5.384724855422974
25,0.006202398165620908,0.000251145692598554,0.5,24.821853782806503,459.4105775109514,5.742559348343892,175.33491595880895,19788.142061170387,21.788857191337513,0.15503790722090172,0.00012947534128971612,2.4970548667423573,0.5717016191144491,0.006666427977973429,0.0,8,11,16,6.262282848358154
29,0.007203683666849989,0.0002492572806164511,0.5,24.718295149294043,472.1006447297725,5.7520495319581055,175.29028546171153,19991.809154242856,22.591685878320202,0.15978428197373598,0.00012144667925439701,2.963409207273266,0.5717016191144491,0.006666427977973429,0.0,8,11,16,7.1377246379852295
33,0.008194469938346115,0.0002468345144456502,0.5,24.645771664872818,468.4257798509491,5.751693050225644,175.24619977805395,20213.007096972007,23.32323799751867,0.16391611597985084,0.00011381380798909878,3.429339542000224,0.5717016191144491,0.006666427977973429,0.0,8,11,16,8.015109300613403
37,0.00917701681414311,0.00024498490348829255,0.5,24.555985568678338,467.98269915458843,5.744070956748526,175.20242267388235,20452.485014047,24.03613569782582,0.16779710496101863,0.00011020285122605861,3.8893721547585773,0.5684637893108964,0.05044507929528049,0.0,8,11,16,8.890465259552002
41,0.010153338993999238,0.00024358067928540873,0.5,24.46192174047523,487.5114138213516,5.734841377298816,175.15877071583512,20709.967332325232,24.71119223170398,0.17130130108685732,0.000103955526136204,4.355807202368761,0.5684637893108964,0.05044507929528049,0.0,8,11,16,9.775565147399902
45,0.011124689154155886,0.00024240787388828545,0.5,24.361672007616455,486.6582747207621,5.736100709533431,175.11515449330614,20985.299267246894,25.31099737330339,0.1741857466522967,0.00010952039823574956,4.828937143861328,0.5684637893108964,0.05044507929528049,0.0,8,11,16,10.663499593734741
49,0.012091558794372409,0.0002413073799644265,0.5,24.262905314145193,465.0627940060565,5.731134806836617,175.07151928049706,21277.425254902617,25.83542349223425,0.17646701983990568,0.00012948252468217237,5.28903224751452,0.542887960330114,0.09191276536748354,0.0,8,11,16,11.541862964630127
53,0.013054125390942646,0.00024025051453616092,0.5,24.17020700597423,474.6265348818911,5.737067347914879,175.02778475233737,21584.825096243883,26.316366057255813,0.1783743142947816,0.0001356458240491922,5.741289027085041,0.5752083986293706,0.07805291881643986,0.0,8,11,16,12.42058801651001
57,0.014012710450659209,0.00023930272350942015,0.5,24.092380691856143,504.09779223583905,5.743010960839429,174.983891303024,21907.950365670742,26.731312953400746,0.17976794957898362,0.0001293923507741802,6.210384285863142,0.5752083986293706,0.07805291881643986,0.0,8,11,16,13.295881271362305
62,0.015206303307462131,0.0002383678322867984,0.5,24.015672724919366,523.8964121996656,5.73361229708971,174.9288403729524,22333.047878474146,27.078938898084033,0.18030662004765477,0.0001340490316293687,6.823887555487653,0.5752083986293706,0.07805291881643986,0.0,8,11,16,14.400094985961914
66,0.016158287501868103,0.00023778341800222735,0.5,23.960450886879233,525.2841507888394,5.710589954973425,174.88468495568222,22684.717567839292,27.274621199493,0.18016977535477732,0.00015006001302704855,7.323289212009161,0.7549341398180573,0.5845895396437059,0.0,8,11,16,15.276895761489868
70,0.017107997487232178,0.0002372049697548398,0.5,23.91291495201914,550.9094537406711,5.714052902161108,174.8403679364676,23044.20634898596,27.489023579520826,0.1801347451798318,0.000155185012963736,7.834325118212478,0.7549341398180573,0.5845895396437059,0.0,8,11,16,16.15357995033264
74,0.0180551028115062,0.0002364976075949114,0.5,23.87012678875646,575.985708632118,5.716984123376219,174.7958760557776,23414.96403691531,27.734900305633616,0.1802666474650281,0.0001406030356810045,8.36796932230343,0.7549341398180573,0.5845895396437059,0.0,8,11,16,17.03363800048828
79,0.019234327921354405,0.0002353809095101355,0.5,23.82429589781929,606.9343220910346,5.718711001254847,174.74024440130486,23897.188308549248,28.037807506221718,0.18034712475827247,0.00013843007974669784,9.065433823889007,0.7571422394816153,0.581417328002678,0.0,8,11,16,18.119449138641357
83,0.02017340274938247,0.0002344010831461474,0.5,23.7914862696282,631.8519220076313,5.723242953434719,174.6959263416275,24293.12513599435,28.25880147208175,0.18025499030558642,0.00015829411942308848,9.64709031345925,0.7571422394816153,0.581417328002678,0.0,8,11,16,19.00015425682068
87,0.021108669530217918,0.00023348038380991126,0.5,23.762251501099207,656.0893034483724,5.710143228417034,174.65175753636123,24694.194315211753,28.45483295903239,0.1800053356932571,0.00016096439971956977,10.249374635378,0.7571422394816153,0.581417328002678,0.0,8,11,16,19.88253951072693
91,0.02204060204151911,0.00023270578405692595,0.5,23.751742429467015,679.711006888213,5.715230115345065,174.6075706839647,25102.51224650528,28.58671268402348,0.17935672836630917,0.00014029584563715717,10.871812504282444,0.7571422394816153,0.581417328002678,0.0,8,11,16,20.75992250442505
96,0.02320182391425852,0.00023196874972648295,0.5,23.74077069652435,708.5130047236959,5.709938920943626,174.5520857530635,25632.079942929162,28.573410424773105,0.1774403859984656,0.0001120664963251465,11.677830547555342,0.7571422394816153,0.581417328002678,0.0,8,11,16,21.854138374328613
100,0.024128561033652615,0.00023152687721247407,0.5,23.728600223912668,731.0885793491333,5.692732519213347,174.50742325851374,26075.345720618163,28.412121279702568,0.17498401809137845,0.00011192999829649171,12.344896660104757,0.7571422394816153,0.581417328002678,0.0,8,11,16,22.73287844657898
104,0.025053759535590928,0.00023117197314071695,0.5,23.717904331300357,753.3326375202802,5.7006796785022225,174.4624972589711,26534.583563593806,28.19348949608655,0.172188243313228,0.00012301140116125452,13.031588803151271,0.7571422394816153,0.581417328002678,0.0,8,11,16,23.612454652786255
109,0.026208498675411005,0.00023080832488514284,0.5,23.733202774611293,780.7478730624625,5.692014333792673,174.40592888754472,27126.80516070609,27.992699158728396,0.16914416020504264,0.00012777271185019336,13.917320207753802,0.7571422394816153,0.581417328002678,0.0,8,11,16,24.706972360610962
113,0.027131117185885425,0.0002305679985287838,0.5,23.755348294622774,802.4037465378638,5.689000668360442,174.3603104200393,27612.653176934127,27.96063337223618,0.167481046828391,0.00012279586717484222,14.64764270231921,0.7571422394816153,0.581417328002678,0.0,8,11,16,25.583283185958862
117,0.0280528972592878,0.0002303786723808982,0.5,23.7750251464655,823.8348315048185,5.701218033305399,174.31435316000454,28107.34971148409,28.039660681470888,0.1664746703126242,0.00011821841556206571,15.397159860238189,0.7571422394816153,0.581417328002678,0.0,8,11,16,26.47086453437805
122,0.029204182454908606,0.00023019675411346932,0.5,23.793445782946527,850.3370258725204,5.703621561839337,174.25642905205305,28735.260679907336,28.238868589498512,0.16580557398344054,0.00011693928807280607,16.360884497399947,0.7571422394816153,0.581417328002678,0.0,8,11,16,27.571149110794067
126,0.03012456419093875,0.00022991697990248835,0.5,23.810120790295876,871.3388853789841,5.703292390371766,174.20971988442105,29243.084810666973,28.421169759246997,0.16540961119027497,0.00011382793439365488,17.15318402943942,0.7571422394816153,0.581417328002678,0.0,8,11,16,28.451544523239136
130,0.031042546278732323,0.0002292532051150856,0.5,23.81213583803855,892.1533253172593,5.699553085048554,174.16283875280592,29753.853195053023,28.56999641275326,0.1648370918459161,0.00010876950167830236,17.962611160130738,0.7571422394816153,0.581417328002678,0.0,8,11,16,29.344646215438843
135,0.03218670942661763,0.0002285811903220006,0.5,23.80521510115279,917.9609115941726,5.690435031368504,174.1040179002455,30396.95026245329,28.659961738006373,0.16360614107787086,0.00010918828354824047,18.998144161799036,0.7571422394816153,0.581417328002678,0.0,8,11,16,30.454410552978516
139,0.03310009995444037,0.00022823240641386313,0.5,23.83198812070192,938.5006927430367,5.679938384492955,174.0567122806304,30916.0927922003,28.65405206873872,0.16221161569032658,0.00011417334194921344,19.84598138413314,0.7571422394816153,0.581417328002678,0.0,8,11,16,31.332865715026855
