t,max_velocity,max_vorticity
1.9832873250839785e-06,25.210668856507137,482600.9134973079
1.9832873250839782e-05,25.200041527505896,481959.88397981157
3.966574650167956e-05,25.200169638318744,481245.4650547248
5.949861975251933e-05,25.200271774516956,480529.17685354716
7.933149300335917e-05,25.20034767236232,479811.57316195033
9.916436625419901e-05,25.2003967900084,479093.3080024081
0.00011899723950503885,25.2004187559817,478375.12718662934
0.00013883011275587858,25.20041315069415,477657.87409055664
0.00015866298600671828,25.200384796455527,476942.4910656534
0.000178495859257558,25.20031776572178,476230.0072412263
0.0001983287325083977,25.2002273206752,475521.55316460377
0.0002181616057592374,25.20010786764206,474818.3367188506
0.0002379944790100771,25.199959454673138,474121.6468480737
0.0002578273522609168,25.199780911146306,473432.8427533645
0.0002776602255117565,25.199573379810918,472753.34499312035
0.0002974930987625962,25.199334435238672,472084.62238058855
0.0003173259720134359,25.199065587608377,471428.1926603861
0.0003371588452642756,25.198765775028026,470785.56512144563
0.0003569917185151153,25.19843604138034,470158.3552199346
0.00037682459176595503,25.198074928558107,469548.05645555095
0.00039665746501679473,25.19768125301861,468956.219000314
0.00041649033826763444,25.197256351354714,468384.3584294743
0.00043632321151847414,25.19679923399488,467833.9436551065
0.00045615608476931384,25.196309260918444,467306.3872016869
0.00047598895802015355,25.19578710486106,466803.0342692221
0.0004958218312709933,25.195230354622442,466325.14811452664
0.000515654704521833,25.19464078125848,465873.89953118697
0.0005354875777726727,25.194017240074373,465450.35563946463
0.0005553204510235124,25.19335858531387,465055.4666589806
0.0005751533242743521,25.19266492477646,464690.0659644083
0.0005949861975251918,25.191935668287456,464354.8512992233
0.0006148190707760315,25.191170684692317,464050.3888524297
0.0006346519440268712,25.190367995748932,463777.1062681277
0.0006544848172777109,25.189528236427183,463535.28302615596
0.0006743176905285506,25.188646199120157,463325.06172049156
0.0006941505637793903,25.187734264371887,463146.4396851569
0.00071398343703023,25.18677805256728,462999.27985435666
0.0007338163102810697,25.185782218562622,462883.2990173842
0.0007536491835319094,25.184744277261217,462798.09056411375
0.0007734820567827491,25.183666731667397,462743.1224655778
0.0007933149300335888,25.18254565498938,462717.746606069
0.0008131478032844285,25.181381919273004,462721.2097913853
0.0008329806765352682,25.18017444251917,462752.66252978746
0.0008528135497861079,25.1789229554701,462811.17173837847
0.0008726464230369476,25.177626467709178,462895.7440179258
0.0008924792962877873,25.17628463537504,463005.2846928181
0.000912312169538627,25.174896851660534,463138.7233511596
0.0009321450427894667,25.173462770029417,463294.9060871725
0.0009519779160403064,25.17199219952276,463472.6809489937
0.0009718107892911461,25.170454333038414,463670.88755813974
0.0009916436625419859,25.168879557871477,463888.3831118877
0.0010114765357928256,25.167256912514567,464124.0425094805
0.0010313094090436653,25.165588521321666,464376.77984139195
0.001051142282294505,25.163872147507064,464645.5561615249
0.0010709751555453447,25.162109579353032,464929.3907443966
0.0010908080287961844,25.160300322788107,465227.37021929375
0.001110640902047024,25.15844510976688,465538.6664928081
0.0011304737752978638,25.156544580481025,465862.52901187446
0.0011503066485487035,25.154598695337864,466198.29961316433
0.0011701395217995432,25.15261037865129,466545.41681787785
0.001189972395050383,25.150578385706652,466903.41639724723
0.0012098052683012226,25.148504370572518,467271.93586815795
0.0012296381415520623,25.14638940573244,467650.71261127974
0.001249471014802902,25.14423359020742,468039.5829272955
0.0012693038880537417,25.142039189631863,468438.48026202293
0.0012891367613045814,25.13980902566708,468847.43020079186
0.0013089696345554211,25.137542911885408,469266.54519414896
0.0013288025078062608,25.135241353490265,469696.0186611099
0.0013486353810571005,25.132905616216895,470136.1166053312
0.0013684682543079402,25.130537425383242,470587.16909190454
0.00138830112755878,25.1292149943617,471049.5614198716
0.0014081340008096196,25.1281027842314,471523.7236957036
0.0014279668740604593,25.126953974768256,472010.1174689984
0.001447799747311299,25.12576841283434,472509.2311323362
0.0014676326205621387,25.124546549180984,473021.5617966884
0.0014874654938129785,25.123288166272037,473547.60942613124
0.0015072983670638182,25.12199928777038,474087.85710218624
0.0015271312403146579,25.120674348262607,474642.7740100651
0.0015469641135654976,25.119315654333263,475212.7924715255
0.0015667969868163373,25.11792346267287,475798.30004088534
0.001586629860067177,25.11649734831015,476399.6246546519
0.0016064627333180167,25.11516122777047,477017.0759302978
0.0016262956065688564,25.113546043912788,477650.8432313386
0.001646128479819696,25.11202008866021,478301.0566249307
0.0016659613530705358,25.11046070416697,478967.77644389874
0.0016857942263213755,25.108866323288197,479650.971909883
0.0017056270995722152,25.10723527761693,480350.525825207
0.001725459972823055,25.105571256395894,481066.22676752333
0.0017452928460738946,25.103870688710444,481797.7760016585
0.0017651257193247343,25.102132274641797,482544.7813207679
0.001784958592575574,25.100356808433677,483306.7606989529
0.0018047914658264137,25.0985425174559,484083.1471363486
0.0018246243390772534,25.09668892000256,484873.2851043932
0.0018444572123280931,25.094795346286343,485676.44299849204
0.0018642900855789328,25.092861005308887,486491.8134491803
